Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_1114200,"GTPase-activating protein, putative",Non - Mutable in CDS,0.218,-3.46
PF3D7_1114400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.162
PF3D7_1114500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.103
PF3D7_1114600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.644
PF3D7_1114700,"serine/threonine protein kinase, putative",Non - Mutable in CDS,0.449,-2.375
PF3D7_1114800,"glycerol-3-phosphate dehydrogenase, putative",Non - Mutable in CDS,0.158,-2.721
PF3D7_1114900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.138,-2.828
PF3D7_1115000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.137
PF3D7_1115100,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.934,-2.623
PF3D7_1115200,histone-lysine N-methyltransferase SET7,Non - Mutable in CDS,0.983,-2.078
PF3D7_1115300,cysteine proteinase falcipain 2b,Mutable in CDS,0.91,-2.729
PF3D7_1115400,cysteine proteinase falcipain 3,Mutable in CDS,0.978,-1.959
PF3D7_1115500,"transcription factor with AP2 domain(s), putative",Non - Mutable in CDS,0.213,-2.677
PF3D7_1115600,peptidyl-prolyl cis-trans isomerase,Mutable in CDS,1,0.755
PF3D7_1115700,cysteine proteinase falcipain 2a,Non - Mutable in CDS,0.12,-2.998
PF3D7_1115800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.171
PF3D7_1115900,palmitoyltransferase DHHC9,Mutable in CDS,1,-1.266
PF3D7_1116000,rhoptry neck protein 4,Non - Mutable in CDS,0.524,-2.539
PF3D7_1116100,"serine esterase, putative",Mutable in CDS,1,-2.431
PF3D7_1116200.1,pyridoxine biosynthesis protein PDX2,Non - Mutable in CDS,0.861,-2.264
PF3D7_1116300,peptidyl-prolyl cis-trans isomerase,Non - Mutable in CDS,0.794,0
PF3D7_1116400,guanine nucleotide-exchange factor SEC12,Non - Mutable in CDS,0.169,-2.709
PF3D7_1116500,folate transporter 2,Mutable in CDS,0.334,-3.043
PF3D7_1116600,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3, putative",Mutable in CDS,0.917,-2.76
PF3D7_1116700,dipeptidyl aminopeptidase 1,Mutable in CDS,1,-1.432
PF3D7_1116800,heat shock protein 101,Non - Mutable in CDS,0.119,-3.014
PF3D7_1116900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.818,-1.914
PF3D7_1117000,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-1.25
PF3D7_1117100,deubiquinating/deneddylating enzyme,Non - Mutable in CDS,0.121,-2.89
PF3D7_1117200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.133
PF3D7_1117300,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.204,-3.323
PF3D7_1117400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.161,-2.944
PF3D7_1117500,tyrosine--tRNA ligase,Non - Mutable in CDS,0.122,-3.112
PF3D7_1117600.1,"peptidyl-tRNA hydrolase ICT1, peptidyl-tRNA hydrolase ICT1, putative",Mutable in CDS,0.189,0.277
PF3D7_1117700,GTP-binding nuclear protein RAN/TC4,Non - Mutable in CDS,0.492,0
PF3D7_1117800,DNA mismatch repair protein MLH,Non - Mutable in CDS,0.154,-2.822
PF3D7_1117900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.009
PF3D7_1118000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.375,-2.552
PF3D7_1118100,"AP-1 complex subunit sigma, putative",Non - Mutable in CDS,0.153,-3.131
PF3D7_1118200,"heat shock protein 90, putative",Non - Mutable in CDS,0.151,-2.791
PF3D7_1118300,"insulinase, putative",Mutable in CDS,1,-0.04
PF3D7_1118400,"haloacid dehalogenase-like hydrolase, putative",Mutable in CDS,0.992,-2.562
PF3D7_1118500,"nucleolar protein 56, putative",Non - Mutable in CDS,0.123,-2.956
PF3D7_1118600,histone acetyltransferase,Non - Mutable in CDS,0.313,-2.619
PF3D7_1118700,myosin light chain B,Non - Mutable in CDS,0.337,-2.562
PF3D7_1118800,"actin-related protein 2/3 complex subunit 1, putative",Non - Mutable in CDS,1,-1.87
PF3D7_1118900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.182,-2.829
PF3D7_1119000,"acyl-CoA-binding protein, putative",Mutable in CDS,1,-2.654
PF3D7_1119100,"tRNA m(1)G methyltransferase, putative",Mutable in CDS,1,-1.404
PF3D7_1119200,"conserved protein, unknown function",Non - Mutable in CDS,0.967,-2.035
PF3D7_1119300,"splicing factor U2AF small subunit, putative",Non - Mutable in CDS,0.996,-1.955
PF3D7_1119400,"ubiquitin-protein ligase, putative",Mutable in CDS,1,-2.279
PF3D7_1119500,"AP-4 complex subunit mu, putative",Non - Mutable in CDS,0.175,-2.88
PF3D7_1119600,"ATP-dependent zinc metalloprotease FTSH, putative",Non - Mutable in CDS,0.141,-2.915
PF3D7_1119700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.999,-2.788
PF3D7_1119800,"alternative splicing factor ASF-1, putative",Non - Mutable in CDS,0.121,-2.88
PF3D7_1119900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.099
PF3D7_1120000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.155,-2.903
PF3D7_1120100,"phosphoglycerate mutase, putative",Non - Mutable in CDS,0.127,-3.154
PF3D7_1120300,"CorA-like Mg2+ transporter protein, putative",Mutable in CDS,1,0.316
PF3D7_1120400,"alpha/beta hydrolase fold domain containing protein, putative",Non - Mutable in CDS,0.122,-3.033
PF3D7_1120500,"tRNA nucleotidyltransferase, putative",Non - Mutable in CDS,0.169,-3.259
PF3D7_1120600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.375
PF3D7_1120700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.812
PF3D7_1120800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.189,-2.627
PF3D7_1120900,heat shock factor-binding protein 1,Non - Mutable in CDS,0.497,-3.491
PF3D7_1121000,palmitoyltransferase DHHC3,Mutable in CDS,0.795,-2.768
PF3D7_1121100,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.69,-2.246
PF3D7_1121200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.041
PF3D7_1121300,tyrosine kinase-like protein,Mutable in CDS,1,-0.436
PF3D7_1121400,"WD repeat-containing protein, putative",Mutable in CDS,1,-2.087
PF3D7_1121500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.194,-3.409
PF3D7_1121600,exported protein 1,Non - Mutable in CDS,0.988,-1.886
PF3D7_1121700,protein GCN20,Mutable in CDS,1,-1.396
PF3D7_1121800,"petidase, M16 family",Mutable in CDS,1,-0.86
PF3D7_1121900,"serine/threonine protein kinase, putative",Non - Mutable in CDS,0.249,-3.434
PF3D7_1122000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.992
PF3D7_1122100,"GPI transamidase component GPI16, putative",Non - Mutable in CDS,0.137,-3.131
PF3D7_1122200,"cupin-like protein, putative",Mutable in CDS,0.999,-2.57
PF3D7_1122300,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.999,-0.447
PF3D7_1122400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.124,-3.071
PF3D7_1122500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-2.929
PF3D7_1122600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.496
PF3D7_1122700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.165,-3.326
PF3D7_1122800,calcium-dependent protein kinase 6,Mutable in CDS,1,-0.818
PF3D7_1122900,"dynein heavy chain, putative",Mutable in CDS,1,-1.219
PF3D7_1123000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.991,-2.752
PF3D7_1123100,calcium-dependent protein kinase 7,Non - Mutable in CDS,0.214,-2.689
PF3D7_1123200,leucine-rich repeat protein,Non - Mutable in CDS,0.148,-3.192
PF3D7_1123300,"RING zinc finger protein, putative",Mutable in CDS,1,-0.807
PF3D7_1123400,"translation elongation factor EF-1, subunit alpha, putative",Non - Mutable in CDS,0.27,-2.63
PF3D7_1123500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.283
PF3D7_1123600,"RAP protein, putative",Non - Mutable in CDS,0.133,-3.281
PF3D7_1123700,"mitochondrial ribosomal protein L37, putative",Non - Mutable in CDS,0.119,-3.094
PF3D7_1123800,"structural maintenance of chromosomes protein 5, putative",Mutable in CDS,0.413,-3.252
PF3D7_1123900,"splicing factor, putative",Non - Mutable in CDS,0.12,-3.123
PF3D7_1124000,"endoplasmic reticulum oxidoreductin, putative",Non - Mutable in CDS,0.121,-3.107
PF3D7_1124100,"beige/BEACH domain protein, putative",Non - Mutable in CDS,0.243,-2.721
PF3D7_1124200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.195
PF3D7_1124300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.218,-2.632
PF3D7_1124400,"U6 snRNA-associated Sm-like protein LSm1, putative",Non - Mutable in CDS,0.119,-3.029
PF3D7_1124500,pyruvate dehydrogenase E1 component subunit alpha,Non - Mutable in CDS,0.492,-2.286
PF3D7_1124600,ethanolamine kinase,Non - Mutable in CDS,0.121,-3.067
PF3D7_1124700,"GrpE protein homolog, mitochondrial, putative",Non - Mutable in CDS,0.122,-2.922
PF3D7_1124800,"nuclear preribosomal assembly protein, putative",Non - Mutable in CDS,0.177,-2.848
PF3D7_1124900,"60S ribosomal protein L35, putative",Non - Mutable in CDS,0.12,0
PF3D7_1125000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-2.945
PF3D7_1125100,"conserved Apicomplexan protein, unknown function",Non - Mutable in CDS,0.12,-3.052
PF3D7_1125200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.161,-2.743
PF3D7_1125300,DNA-directed RNA polymerase,Non - Mutable in CDS,0.147,-2.841
PF3D7_1125400,"mitochondrial import inner membrane translocase subunit TIM44, putative",Non - Mutable in CDS,0.121,-2.949
PF3D7_1125500,"small nuclear ribonucleoprotein Sm D1, putative",Non - Mutable in CDS,0.999,0
PF3D7_1125600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,0
PF3D7_1125700,"kelch domain-containing protein, putative",Mutable in CDS,0.79,-2.968
PF3D7_1125800,"kelch domain-containing protein, putative",Mutable in CDS,1,-1.254
PF3D7_1125900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.132,-3.114
PF3D7_1126000,threonine--tRNA ligase,Non - Mutable in CDS,0.119,-2.949
PF3D7_1126100,"autophagy-related protein 7, putative",Non - Mutable in CDS,0.127,-2.95
PF3D7_1126200,"40S ribosomal protein S18, putative",Non - Mutable in CDS,0.125,-2.983
PF3D7_1126300.1,"DnaJ protein, putative",Non - Mutable in CDS,0.129,-2.879
PF3D7_1126400,"large ribosomal subunit processing factor, putative",Non - Mutable in CDS,0.14,-2.959
PF3D7_1126500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.127,-2.957
PF3D7_1126600,"steryl ester hydrolase, putative",Mutable in CDS,1,-0.059
PF3D7_1126700,"autophagy-related protein 23, putative",Mutable in CDS,0.917,-3.049
PF3D7_1126800,"RNA-binding protein, putative",Non - Mutable in CDS,0.994,-2.184
PF3D7_1126900,"small nuclear ribonucleoprotein F, putative",Non - Mutable in CDS,0.12,0
PF3D7_1127000,"protein phosphatase, putative",Mutable in CDS,1,-0.05
PF3D7_1127100,deoxyuridine 5'-triphosphate nucleotidohydrolase,Non - Mutable in CDS,0.847,0
PF3D7_1127200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,0
PF3D7_1127300,"tRNA (guanine-N(7)-)-methyltransferase, putative",Mutable in CDS,0.985,-1.218
PF3D7_1127400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-3.027
PF3D7_1127500,"protein disulfide-isomerase, putative",Non - Mutable in CDS,0.339,-2.769
PF3D7_1127600,"CRAL/TRIO domain-containing protein, putative",Non - Mutable in CDS,0.178,-3.244
PF3D7_1127700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.261
PF3D7_1127800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.198,-2.706
PF3D7_1127900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-2.962
PF3D7_1128000.1,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.158,-2.838
PF3D7_1128100,"prefoldin subunit 5, putative",Mutable in CDS,1,-2.205
PF3D7_1128200,"multiprotein-bridging factor 1, putative",Non - Mutable in CDS,0.176,-2.575
PF3D7_1128300,ATP-dependent 6-phosphofructokinase,Mutable in CDS,1,-2.821
PF3D7_1128400,"geranylgeranyl pyrophosphate synthase, putative",Non - Mutable in CDS,0.142,-2.868
PF3D7_1128500,"conserved protein, unknown function",Non - Mutable in CDS,0.126,-3.032
PF3D7_1128600,"CCR4-NOT transcription complex subunit 2, putative",Mutable in CDS,1,-0.9
PF3D7_1128700,"GPI-anchor transamidase, putative",Non - Mutable in CDS,0.214,-2.706
PF3D7_1128900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.124,-2.893
PF3D7_1129000,spermidine synthase,Non - Mutable in CDS,0.166,-2.784
PF3D7_1129100,parasitophorous vacuolar protein 1,Mutable in CDS,1,-2.111
PF3D7_1129200,"26S proteasome regulatory subunit RPN7, putative",Non - Mutable in CDS,0.157,-2.738
PF3D7_1129300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.027
PF3D7_1129400,"rRNA (cytosine-C(5))-methyltransferase, putative",Non - Mutable in CDS,0.12,-3.043
PF3D7_1129500,"A/G-specific adenine glycosylase, putative",Mutable in CDS,0.991,0.125
PF3D7_1129600,"phosphatidylinositol-4-phosphate 5-kinase, putative",Mutable in CDS,1,-2.223
PF3D7_1129700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.182,-3.273
PF3D7_1129800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3.043
PF3D7_1129850,"UNC-50 protein, putative, pseudogene",Mutable in CDS,0.993,-2.402
PF3D7_1129900,"major facilitator superfamily-related transporter, putative",Mutable in CDS,1,-1.042
PF3D7_1130000,"phosphoacetylglucosamine mutase, putative",Non - Mutable in CDS,0.167,-2.855
PF3D7_1130100,60S ribosomal protein L38,Non - Mutable in CDS,0.12,-3.006
PF3D7_1130200,60S ribosomal protein P0,Non - Mutable in CDS,0.208,-2.596
PF3D7_1130400,"26S protease regulatory subunit 6A, putative",Non - Mutable in CDS,0.125,-3.028
PF3D7_1130500,"conserved oligomeric Golgi complex subunit 2, putative",Non - Mutable in CDS,0.124,-3.024
PF3D7_1130600,"methyltransferase, putative",Mutable in CDS,1,-0.3
PF3D7_1130700,"structural maintenance of chromosomes protein 1, putative",Non - Mutable in CDS,0.133,-3.279
PF3D7_1130800,"armadillo repeat protein PF16, putative",Mutable in CDS,0.957,-1.495
PF3D7_1130900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-2.999
PF3D7_1131000,"RNA-binding protein s1, putative",Mutable in CDS,1,-1.091
PF3D7_1131100,"serpentine receptor, putative",Non - Mutable in CDS,0.547,-2.479
PF3D7_1131200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.989
PF3D7_1131300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.136,-2.819
PF3D7_1131400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-2.973
PF3D7_1131500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.202,-2.568
PF3D7_1131600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.414
PF3D7_1131700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.903,-2.516
PF3D7_1131800,"oxysterol-binding protein, putative",Mutable in CDS,1,-0.001
PF3D7_1131900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.151,-2.791
PF3D7_1132000,"ubiquitin-like protein, putative",Mutable in CDS,0.585,-3.037
PF3D7_1132100,"RNA-binding protein, putative",Mutable in CDS,1,-1.641
PF3D7_1132200,T-complex protein 1 subunit alpha,Non - Mutable in CDS,0.174,-2.998
PF3D7_1132300,"nucleic acid binding protein, putative",Non - Mutable in CDS,0.125,-3.046
PF3D7_1132400,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-0.766
PF3D7_1132500,"amino acid transporter, putative",Mutable in CDS,1,-0.049
PF3D7_1132600,"pre-mRNA-splicing factor 38A, putative",Mutable in CDS,1,0.832
PF3D7_1132700,"50S ribosomal protein L2, putative",Non - Mutable in CDS,0.371,-2.291
PF3D7_1132800,aquaglyceroporin,Non - Mutable in CDS,0.151,-2.791
PF3D7_1132900,glycine cleavage system H protein,Non - Mutable in CDS,0.967,-2.008
PF3D7_1133000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.251,-3.362
PF3D7_1133100,"conserved membrane protein, unknown function",Non - Mutable in CDS,0.131,-2.945
PF3D7_1133200,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.997,-2.594
PF3D7_1133300,"LEM3/CDC50 family protein, putative",Non - Mutable in CDS,0.119,-3.087
PF3D7_1133400,apical membrane antigen 1,Non - Mutable in CDS,0.776,-2.387
PF3D7_1133500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.124,-2.827
PF3D7_1133600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.134,-3.183
PF3D7_1133700,"FHA domain-containing protein, putative",Mutable in CDS,1,-1.847
PF3D7_1133800,"RNA (uracil-5-)methyltransferase, putative",Non - Mutable in CDS,0.123,-3.149
PF3D7_1133900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.468
PF3D7_1134000,heat shock protein 70,Non - Mutable in CDS,0.182,-2.879
PF3D7_1134100,protein disulfide isomerase,Mutable in CDS,0.995,-2.894
PF3D7_1134200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.16,-3.249
PF3D7_1134300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.442
PF3D7_1134400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.033
PF3D7_1134500,"alpha/beta hydrolase, putative",Non - Mutable in CDS,0.181,-3.306
PF3D7_1134600,"zinc finger protein, putative",Mutable in CDS,1,-2.522
PF3D7_1134700,"DNA-directed RNA polymerase I subunit RPA2, putative",Non - Mutable in CDS,0.12,-2.941
PF3D7_1134800,coatomer subunit delta,Non - Mutable in CDS,0.142,-3.396
PF3D7_1134900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.157,-2.808
PF3D7_1135000.1,"PQ-loop repeat-containing protein, unspecified product",Mutable in CDS,0.66,-2.879
PF3D7_1135100,"protein phosphatase PPM8, putative",Non - Mutable in CDS,0.12,-3.018
PF3D7_1135200,"regulator of chromosome condensation, putative, pseudogene",Mutable in CDS,0.842,-2.924
PF3D7_1135300,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.175,-2.603
PF3D7_1135400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.456,-3.016
PF3D7_1135500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.49
PF3D7_1135600,"condensin-2 complex subunit D3, putative",Mutable in CDS,1,-0.854
PF3D7_1135700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.14,-2.947
PF3D7_1135800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-2.718
PF3D7_1135900,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative",Non - Mutable in CDS,0.123,-3.073
PF3D7_1136000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.18
PF3D7_1136100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.778
PF3D7_1136200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.026
PF3D7_1136300,tudor staphylococcal nuclease,Mutable in CDS,1,-2.071
PF3D7_1136400,"signal recognition particle subunit SRP72, putative",Non - Mutable in CDS,0.13,-2.91
PF3D7_1136500.1,casein kinase 1,Non - Mutable in CDS,0.225,-2.966
PF3D7_1136600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-2.986
PF3D7_1136700.1,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.19,-3.284
PF3D7_1136800,"DnaJ protein, putative",Non - Mutable in CDS,0.12,-3.149
PF3D7_1136900,subtilisin-like protease 2,Non - Mutable in CDS,0.139,-2.957
PF3D7_1137100,"mitochondrial ribosomal protein S9 precursor, putative",Non - Mutable in CDS,0.372,-2.535
PF3D7_1137200,apical exonemal protein,Mutable in CDS,1,0.071
PF3D7_1137300,"CLPTM1 domain-containing protein, putative",Mutable in CDS,1,-2.335
PF3D7_1137400,UVB-resistance protein UVR8 homologue,Mutable in CDS,0.993,-1.012
PF3D7_1137500,"apicoplast ribosomal protein S14p/S29e precursor, putative",Non - Mutable in CDS,0.429,-2.416
PF3D7_1137600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,1.448
PF3D7_1137700,"calcium-binding protein, putative",Mutable in CDS,1,-0.586
PF3D7_1137800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,-1.009
PF3D7_1137900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.85,-3.024
PF3D7_1138000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.967
PF3D7_1138100,"ubiquitin-related modifier 1, putative",Non - Mutable in CDS,0.301,-2.462
PF3D7_1138200,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.164,-2.692
PF3D7_1138300,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.947,-1.533
PF3D7_1138400,guanylyl cyclase,Mutable in CDS,0.954,-2.882
PF3D7_1138500,protein phosphatase 2C,Non - Mutable in CDS,0.19,-2.797
PF3D7_1138600,"beta-catenin-like protein 1, putative",Mutable in CDS,1,-1.099
PF3D7_1138700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.831,-2.986
PF3D7_1138800,"WD repeat-containing protein, putative",Non - Mutable in CDS,0.125,-2.867
PF3D7_1139100,"RNA-binding protein, putative",Mutable in CDS,1,-0.063
PF3D7_1139200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.139,-3.221
PF3D7_1139300,transcription factor with AP2 domain(s),Mutable in CDS,1,-2.777
PF3D7_1139500.1,"AAA family ATPase, putative, unspecified product",Mutable in CDS,1,-1.669
PF3D7_1139600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.156,-2.723
PF3D7_1139700,"adrenodoxin reductase, putative",Non - Mutable in CDS,0.119,-3.079
PF3D7_1139800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-3.065
PF3D7_1139900,"conserved protein, unknown function",Non - Mutable in CDS,0.198,-2.836
PF3D7_1140000,carbonic anhydrase,Non - Mutable in CDS,0.203,-2.805
PF3D7_1140100,"V-type proton ATPase subunit F, putative",Non - Mutable in CDS,0.831,-2.068
PF3D7_1140200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.422,-2.428
PF3D7_1140300,"P-loop containing nucleoside triphosphate hydrolase, putative",Mutable in CDS,0.613,-3.206
PF3D7_1140400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.189,-3.016
PF3D7_1140500,"myosin F, putative",Mutable in CDS,1,-2.507
PF3D7_1140600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.099
PF3D7_1140700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.141
PF3D7_1140800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.134,-2.921
PF3D7_1140900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-3.074
PF3D7_1141000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.578,-2.461
PF3D7_1141100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.393
PF3D7_1141200,"conserved Apicomplexan protein, unknown function",Non - Mutable in CDS,1,0
PF3D7_1141300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.05
PF3D7_1141400,"phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative",Non - Mutable in CDS,0.226,-2.53
PF3D7_1141500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.608,-2.703
PF3D7_1141600,dolichol-phosphate mannosyltransferase,Non - Mutable in CDS,0.128,-2.885
PF3D7_1141700,"OTU domain-containing protein, putative",Non - Mutable in CDS,0.121,-2.867
PF3D7_1141800,"EELM2 domain-containing protein, putative",Mutable in CDS,0.993,-2.659
PF3D7_1141900,"inner membrane complex protein 1b, putative",Mutable in CDS,1,-1.121
PF3D7_1142000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.148,-2.895
PF3D7_1142100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.661
PF3D7_1142200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.695
PF3D7_1142300,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.532,-2.432
PF3D7_1142400,coproporphyrinogen-III oxidase,Non - Mutable in CDS,0.121,-3.078
PF3D7_1142500,60S ribosomal protein L28,Non - Mutable in CDS,0.147,-3.434
PF3D7_1142600,"60S ribosomal protein L35ae, putative",Non - Mutable in CDS,0.127,-2.613
PF3D7_1142700,"methyltransferase, putative",Non - Mutable in CDS,0.128,-2.892
PF3D7_1142800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.171,-2.815
PF3D7_1142900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.238,-2.647
PF3D7_1143000,"alpha/beta hydrolase, putative",Non - Mutable in CDS,0.122,-3.126
PF3D7_1143100,transcription factor with AP2 domain(s),Non - Mutable in CDS,0.406,-2.557
PF3D7_1143200,"DnaJ protein, putative",Mutable in CDS,1,-1.058
PF3D7_1143300,"DNA-directed RNA polymerases I and III subunit RPAC1, putative",Non - Mutable in CDS,0.129,-2.889
PF3D7_1143400,"translation initiation factor eIF-1A, putative",Non - Mutable in CDS,0.978,-2.774
PF3D7_1143500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.116
PF3D7_1143600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.907,-2.266
PF3D7_1143700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.985,-2.702
PF3D7_1143800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.012
PF3D7_1143900,"ATP-dependent (S)-NAD(P)H-hydrate dehydratase, putative",Mutable in CDS,0.572,-3.067
PF3D7_1144000,40S ribosomal protein S21,Non - Mutable in CDS,0.776,0
PF3D7_1144100,"mitochondrial large subunit ribosomal protein, putative",Non - Mutable in CDS,0.222,-4.036
PF3D7_1144200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.008
PF3D7_1144400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.314
PF3D7_1144500,SUMO-activating enzyme subunit 1,Non - Mutable in CDS,0.154,-2.669
PF3D7_1144600,"transcription initiation factor IIF subunit beta, putative",Non - Mutable in CDS,0.21,-2.701
PF3D7_1144700,"apicoplast import protein Tic20, putative",Non - Mutable in CDS,0.12,-3.003
PF3D7_1144800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.204,-2.694
